scenario,covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,abs_smd_before,abs_smd_after,n_treated_before,n_control_before,n_treated_after,n_control_after,n_unique_control_after,matching_method,replacement,caliper
A,x1,0.31828577998879515,-0.3878869924903842,0.7489504455735274,0.31828577998879515,0.31837693249234217,-9.48145198062371e-05,0.7489504455735274,9.48145198062371e-05,498,502,498,498,239,nearest_neighbor_propensity_score,True,
A,x2,0.6024096385542169,0.43824701195219123,0.3327905971540987,0.6024096385542169,0.6004016064257028,0.004097186822121649,0.3327905971540987,0.004097186822121649,498,502,498,498,239,nearest_neighbor_propensity_score,True,
B,x1,0.3260333229254014,-0.3300625251452139,0.6837374361629188,0.3260333229254014,0.2948315419281406,0.03300523354983273,0.6837374361629188,0.03300523354983273,481,519,481,481,245,nearest_neighbor_propensity_score,True,
B,x2,0.5841995841995842,0.42003853564547206,0.332507120592743,0.5841995841995842,0.6091476091476091,-0.05081921597536515,0.332507120592743,0.05081921597536515,481,519,481,481,245,nearest_neighbor_propensity_score,True,
C,x1,0.3594287525945836,-0.22272633071891376,0.5861269031473859,0.3594287525945836,0.3831308940484907,-0.02515675554247208,0.5861269031473859,0.02515675554247208,514,486,514,514,253,nearest_neighbor_propensity_score,True,
C,x2,0.5428015564202334,0.43415637860082307,0.218424095354623,0.5428015564202334,0.5136186770428015,0.05842694717822037,0.218424095354623,0.05842694717822037,514,486,514,514,253,nearest_neighbor_propensity_score,True,
