scenario,n_treated,n_control,treated_outside_control_support_count,control_outside_treated_support_count,share_treated_outside_control_support,share_control_outside_treated_support,min_control_score,max_control_score,min_treated_score,max_treated_score,common_support_min,common_support_max
A,246,254,13,3,0.052845528455284556,0.011811023622047244,0.03758342484843073,0.8797866710922881,0.0624242537079364,0.9615486711313244,0.0624242537079364,0.8797866710922881
B,240,260,1,4,0.004166666666666667,0.015384615384615385,0.11119998946760636,0.8436560118056539,0.13427996738008519,0.8717007602318986,0.13427996738008519,0.8436560118056539
C,253,247,1,5,0.003952569169960474,0.020242914979757085,0.08535809842826257,0.9194655435486929,0.12378924984518322,0.9275722550472336,0.12378924984518322,0.9194655435486929
